Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
201,"Мясо крупного рогатого скота, свежее или охлажденное",,
20110,– туши и полутуши,,
201100001,"– – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 10 000 2 или 0201 10 000 3",-,15%
201100002,– – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
201100003,– – прочие,,
201100003,– – – высококачественная говядина 12),-,15%
201100008,– – – прочие,-,"50%, но не менее 1евро/кг"
20120,"– прочие отруба, необваленные",,
201202000,"– – ""компенсированные"" четвертины",,
201202001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 200 2 или 0201 20 200 3",-,15%
201202002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
201202003,– – – прочие,,
201202003,– – – – высококачественная говядина 12),-,15%
201202008,– – – – прочие,-,"50%, но не менее 1евро/кг"
201203000,– – неразделенные или разделенные передние четвертины,,
201203001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 300 2 или 0201 20 300 3",-,15%
201203002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
201203003,– – – прочие,,
201203003,– – – – высококачественная говядина 12),-,15%
201203008,– – – – прочие,-,"50%, но не менее 1евро/кг"
201205000,– – неразделенные или разделенные задние четвертины,,
201205001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 500 2 или 0201 20 500 3",-,15%
201205002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
201205003,– – – прочие,,
201205003,– – – – высококачественная говядина 12),-,15%
201205008,– – – – прочие,-,"50%, но не менее 1евро/кг"
201209000,– – прочие,,
201209001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 900 2 или 0201 20 900 3",-,15%
201209002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
201209003,– – – прочие,,
201209003,– – – – высококачественная говядина 12),-,15%
201209008,– – – – прочие,-,"50%, но не менее 1евро/кг"
20130,– мясо обваленное,,
201300004,"– – в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 30 000 5 или 0201 30 000 6",-,15%
201300005,– – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
201300006,– – прочее,,
201300006,– – – высококачественная говядина 12),-,15%
201300008,– – – прочее,-,"50%, но не менее 1евро/кг"
202,"Мясо крупного рогатого скота, замороженное",,
20210,– туши и полутуши,,
202100001,"– – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 10 000 2 или 0202 10 000 3",-,15%
202100002,– – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
202100003,– – прочие,,
202100003,– – – высококачественная говядина 12),-,15%
202100008,– – – прочие,-,"50%, но не менее 1евро/кг"
20220,"– прочие отруба, необваленные",,
202201000,"– – ""компенсированные"" четвертины",,
202201001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 20 100 2 или 0202 20 100 3",-,15%
202201002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
202201003,– – – прочие,,
202201003,– – – – высококачественная говядина 12),-,15%
202201008,– – – – прочие,-,"50%, но не менее 1евро/кг"
202203000,– – неразделенные или разделенные передние четвертины,,
202203001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 20 300 2 или 0202 20 300 3",-,15%
202203002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
202203003,– – – прочие,,
202203003,– – – – высококачественная говядина 12),-,15%
202203008,– – – – прочие,-,"50%, но не менее 1евро/кг"
202205000,– – неразделенные или разделенные задние четвертины,,
202205001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 20 500 2 или 0202 20 500 3",-,15%
202205002,– – – говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,-,15%
202205003,– – – прочие,,
202205003,– – – – высококачественная говядина 12),-,15%
202205008,– – – – прочие,-,"50%, но не менее 1евро/кг"
202209000,– – прочее,,
202209001,"– – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 1 к группе 02, кроме включенных в подсубпозицию 0202 20 900 2 или 0202 20 900 3",-,15%
