"Код ТН ВЭД","Наименование позиции","Доп. ед. изм.","Ставка ввозной таможенной пошлины *"
"0101","Лошади, ослы, мулы и лошаки живые","",""
"0101 20","– лошади","",""
"0101 21 000 0","– – чистопородные племенные животные","шт","0"
"0101 29 000 0","– – прочие","",""
"0101 29 100 0","– – – убойные","шт","5%"
"0101 29 900 0","– – – прочие","шт","5%"
"0101 30 000 0","– ослы","шт","5%"
"0101 90 000 0","– прочие","шт","5%"
"0102","Крупный рогатый скот живой","",""
"0102 20","– домашний крупный рогатый скот","",""
"0102 21 000 0","– – чистопородные племенные животные","",""
"0102 21 100 0","– – – нетели (самки крупного рогатого скота до первого отела)","шт","0"
"0102 21 300 0","– – – коровы","шт","0"
"0102 21 900 0","– – – прочие","шт","0"
"0102 29 000 0","– – прочие","",""
"0102 29 050 0","– – – подрода Bibos или подрода Poephagus","шт","5%"
"0102 29 100 0","– – – прочие","",""
"0102 29 100 0","– – – – массой не более 80 кг","шт","5%"
"0102 29 200 0","– – – – массой более 80 кг, но не более 160 кг","",""
"0102 29 210 0","– – – – – убойные","шт","5%"
"0102 29 290 0","– – – – – прочие","шт","5%"
"0102 29 400 0","– – – – массой более 160 кг, но не более 300 кг","",""
"0102 29 410 0","– – – – – убойные","шт","5%"
"0102 29 490 0","– – – – – прочие","шт","5%"
"0102 29 500 0","– – – – массой более 300 кг","",""
"0102 29 500 0","– – – – – нетели (самки крупного рогатого скота до первого отела)","",""
"0102 29 510 0","– – – – – – убойные","шт","5%"
"0102 29 590 0","– – – – – – прочие","шт","5%"
"0102 29 600 0","– – – – – коровы","",""
"0102 29 610 0","– – – – – – убойные","шт","5%"
"0102 29 690 0","– – – – – – прочие","шт","5%"
"0102 29 900 0","– – – – – прочие","",""
"0102 29 910 0","– – – – – – убойные","шт","5%"
"0102 29 990 0","– – – – – – прочие","шт","5%"
"0102 30","– буйволы","",""
"0102 31 000 0","– – чистопородные племенные животные","шт","0"
"0102 39 000 0","– – прочие","",""
"0102 39 100 0","– – – домашние виды","шт","5%"
"0102 39 900 0","– – – прочие","шт","5%"
"0102 90","– прочие","",""
"0102 90 200 0","– – чистопородные племенные животные","шт","0"
"0102 90 900 0","– – прочие","",""
"0102 90 910 0","– – – домашние виды","шт","5%"
"0102 90 990 0","– – – прочие","шт","5%"
"0103","Свиньи живые","",""
"0103 10 000 0","– чистопородные племенные животные","шт","0"
"0103 90","– прочие","",""
"0103 91 000 0","– – массой менее 50 кг","",""
"0103 91 100 0","– – – домашние виды","шт","5%"
"0103 91 900 0","– – – прочие","шт","5%"
"0103 92 000 0","– – массой 50 кг или более","",""
"0103 92 100 0","– – – домашние виды","",""
"0103 92 110 0","– – – – свиноматки массой не менее 160 кг, имевшие по крайней мере один опорос","шт","5%"
"0103 92 190 0","– – – – прочие","шт","5%"
"0103 92 900 0","– – – прочие","шт","5%"
"0104","Овцы и козы живые","",""
"0104 10","– овцы","",""
"0104 10 100 0","– – чистопородные племенные животные","шт","0"
"0104 10 300 0","– – прочие","",""
"0104 10 300 0","– – – ягнята (до одного года)","шт","5%"
"0104 10 800 0","– – – прочие","шт","5%"
"0104 20","– козы","",""
"0104 20 100 0","– – чистопородные племенные животные","шт","0"
"0104 20 900 0","– – прочие","шт","5%"
"0105","Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки","",""
"0105 10","– массой не более 185 г","",""
"0105 11 000 0","– – куры домашние (Gallus domesticus)","",""
"0105 11 100 0","– – – цыплята прародительских и материнских линий племенного разведения","",""
"0105 11 110 0","– – – – линии несушек","шт","0"
